names,dates,ratings,site
Sip of Generosity,2021-05-30,General Audiences,ao3
Onomastic (The Middle),2021-05-30,Teen And Up Audiences,ao3
Reward of Justice,2021-05-29,General Audiences,ao3
This life is controlled confusion (It's just the grand illusion),2021-05-29,General Audiences,ao3
Hysteria (The Beginning),2021-05-29,Teen And Up Audiences,ao3
Twisting the Ribbon,2021-05-28,Explicit,ao3
if your gods should touch you,2021-05-28,Teen And Up Audiences,ao3
Puella Magi Faust Magica ~ The Angel and the Brocken Spectre,2021-05-28,Teen And Up Audiences,ao3
Magical Complex | Madoka Magica AU,2021-05-28,Teen And Up Audiences,ao3
THE MIGHT OF BAHAMUT,2021-05-27,Mature,ao3
and spring again follows,2021-05-27,Not Rated,ao3
A Dark Ceiling,2021-05-25,Mature,ao3
Son voeu sera la clé vers un nouveau monde,2021-05-25,Mature,ao3
Kyubey is shredded,2021-05-25,Teen And Up Audiences,ao3
The Glass Heart (Nothing Lasts Forever),2021-05-25,Teen And Up Audiences,ao3
Wo ist die Käse?,2021-05-24,Teen And Up Audiences,ao3
Lycoris radiata,2021-05-24,Teen And Up Audiences,ao3
The Girl In Her Head (Reflections In The Window),2021-05-23,Teen And Up Audiences,ao3
"and even in death, i'll hold you close",2021-05-23,Teen And Up Audiences,ao3
The Disciples Mini-Missions: Case of the Missing Pudding,2021-05-22,General Audiences,ao3
No Need to Be Lonely,2021-05-21,General Audiences,ao3
a butterfly dreaming,2021-05-21,Teen And Up Audiences,ao3
"I Do Not, nor Do I",2021-05-21,General Audiences,ao3
Scarlet Wind,2021-05-19,Teen And Up Audiences,ao3
Guilt Beckons The Witch,2021-05-18,Mature,ao3
Will-o'-wisp,2021-05-17,General Audiences,ao3
Dear Catherine,2021-05-17,Mature,ao3
Mermaid in My Tub,2021-05-17,Teen And Up Audiences,ao3
"Tick, Tock, Goes The Broken Clock",2021-05-17,Teen And Up Audiences,ao3
"Do Not Stand At My Grave And Cry (I'm Not Dead Yet, I Haven't Died)",2021-05-16,Teen And Up Audiences,ao3
Nothing Nice,2021-05-16,Mature,ao3
Imaginary Numbers,2021-05-15,General Audiences,ao3
tainted,2021-05-15,Mature,ao3
Witch battle Pomonella,2021-05-15,Not Rated,ao3
Familiar battle: Jaws of Life,2021-05-15,Not Rated,ao3
Witch battle Theaphobia (My witch battle mission),2021-05-15,Not Rated,ao3
Summer of Fun,2021-05-14,General Audiences,ao3
Kissing my servant,2021-05-14,Teen And Up Audiences,ao3
Hello My Old Heart,2021-05-13,General Audiences,ao3
asynchronous,2021-05-12,Teen And Up Audiences,ao3
Run Kyubey Run! Rabirin is out too get you!,2021-05-12,Mature,ao3
wishing on a dead star,2021-05-12,Teen And Up Audiences,ao3
A Side Only You Know,2021-05-11,Explicit,ao3
The Thief and the Dragon,2021-05-11,Teen And Up Audiences,ao3
Power Sources,2021-05-11,General Audiences,ao3
I Think You'll Be Okay.,2021-05-11,General Audiences,ao3
Country of Sweets,2021-05-10,General Audiences,ao3
Surrender,2021-05-09,Teen And Up Audiences,ao3
TRNDSTTR,2021-05-09,Explicit,ao3
Paper Moon,2021-05-08,General Audiences,ao3
Homura vs Marinette,2021-05-07,Mature,ao3
Counter Force,2021-05-07,Mature,ao3
i've loved you forever and i'll continue to love you forevermore,2021-05-04,Teen And Up Audiences,ao3
Lost in the Pages,2021-05-03,Teen And Up Audiences,ao3
A Night Out On The Town,2021-05-02,Explicit,ao3
A magical girl and her incubator,2021-05-01,Explicit,ao3
A Kyubey Learns to cry,2021-04-30,Teen And Up Audiences,ao3
AkeHomu Not Straight F-ing Water,2021-04-30,Explicit,ao3
The Witching Hour,2021-04-29,General Audiences,ao3
a little identity never hurt nobody,2021-04-29,General Audiences,ao3
In Walked Luck And You Looked In Time,2021-04-27,Explicit,ao3
Make a Wish,2021-04-27,General Audiences,ao3
The Knight and the Devil,2021-04-26,General Audiences,ao3
Deadly Drabbles,2021-04-26,General Audiences,ao3
Kintsugi,2021-04-26,Teen And Up Audiences,ao3
Loving the dead,2021-04-26,Explicit,ao3
Lost & Found,2021-04-26,General Audiences,ao3
For Her Sake,2021-04-24,Explicit,ao3
Miscellaneous Ficlets,2021-04-23,Explicit,ao3
Miss Miki’s Magical Orchestra,2021-04-23,Not Rated,ao3
Mami's lewd journey,2021-04-22,Explicit,ao3
Defeat,2021-04-21,Teen And Up Audiences,ao3
"defunct strings, cemetery things",2021-04-21,Teen And Up Audiences,ao3
Securing the Bloodline,2021-04-21,Explicit,ao3
Exercise Routine,2021-04-20,Explicit,ao3
Hiraeth,2021-04-19,General Audiences,ao3
Claiming the Third Wheel,2021-04-18,Explicit,ao3
Bedroom Brawls,2021-04-18,Explicit,ao3
Beach Episode,2021-04-18,Teen And Up Audiences,ao3
may death find you alive.,2021-04-18,Mature,ao3
Perfectly Together,2021-04-18,Explicit,ao3
Miracle,2021-04-17,Teen And Up Audiences,ao3
"Make an Informal, Yet Clearly-Delineated Agreement with Me and Get Something You Want (Briefly) Before Becoming a Horrifying Monster",2021-04-16,Teen And Up Audiences,ao3
break the cycle in half,2021-04-16,Mature,ao3
Nebulae,2021-04-15,Not Rated,ao3
Easy to Find - C3 - Maybe I Listen More Than You Think,2021-04-15,Mature,ao3
A Gift of Grief,2021-04-15,Teen And Up Audiences,ao3
of fate and love,2021-04-14,Explicit,ao3
Puella Magi Aine Magica,2021-04-14,Teen And Up Audiences,ao3
All Our Yesterdays,2021-04-14,Teen And Up Audiences,ao3
Somniloquy (The Distance of Forever),2021-04-13,General Audiences,ao3
Balancing Act,2021-04-13,General Audiences,ao3
Witch battle Star Lantern,2021-04-13,Not Rated,ao3
Witch battle Eros,2021-04-13,Not Rated,ao3
Witch battle Blood Countess,2021-04-13,General Audiences,ao3
Conjunction,2021-04-12,General Audiences,ao3
Once More,2021-04-12,Teen And Up Audiences,ao3
Easy to Find - C2 - It Doesn't Mean Reality Is Mean,2021-04-12,Mature,ao3
Lesson Zero,2021-04-10,General Audiences,ao3
Sayaka's Strength,2021-04-09,Mature,ao3
Gag Me with a Soul Gem,2021-04-09,Mature,ao3
"Live, Not Just Survive",2021-04-08,Teen And Up Audiences,ao3
Second Chances Are Hard to Come By,2021-04-08,Teen And Up Audiences,ao3
Sayaka’s Nth Chance,2021-04-05,General Audiences,ao3
Two Worlds,2021-04-05,Mature,ao3
A Wish to Remember,2021-04-04,General Audiences,ao3
Surrounded By Your Light,2021-04-02,Explicit,ao3
Puella Deus Mortem Magicae,2021-03-31,Teen And Up Audiences,ao3
System Error- Insanity,2021-03-31,Teen And Up Audiences,ao3
"Cruel Words, Easily Spoken",2021-03-31,General Audiences,ao3
De Gehangene,2021-03-30,General Audiences,ao3
Bitter Water,2021-03-29,Teen And Up Audiences,ao3
Five Things That Probably Never Happened in Any Timeline (And One That Definitely Did),2021-03-29,General Audiences,ao3
Pissed Over Technology,2021-03-27,General Audiences,ao3
Magical Karin and the DQN Gang,2021-03-27,Teen And Up Audiences,ao3
Masquerade in the belly of the beast,2021-03-27,Teen And Up Audiences,ao3
"Everyone, Receiving You",2021-03-26,General Audiences,ao3
Like a Lantern Shining in the Dark,2021-03-26,Teen And Up Audiences,ao3
Hope,2021-03-25,General Audiences,ao3
Flithy Habits,2021-03-25,Teen And Up Audiences,ao3
Merry Bad End,2021-03-24,General Audiences,ao3
A New Kind of Service,2021-03-22,Explicit,ao3
Batteries,2021-03-22,General Audiences,ao3
One-Way Summer Express,2021-03-22,Explicit,ao3
Stray Demon,2021-03-21,Mature,ao3
Lacrime del Passato,2021-03-21,Teen And Up Audiences,ao3
What if the Emperor Found a Bunch of Anime Goddesses?,2021-03-20,Teen And Up Audiences,ao3
queen of hearts,2021-03-19,Teen And Up Audiences,ao3
No More Magical Girls,2021-03-19,General Audiences,ao3
PMMM Prompt Repository,2021-03-17,Teen And Up Audiences,ao3
Unexpected Chocolate,2021-03-17,General Audiences,ao3
As N Approaches Infinity,2021-03-16,Teen And Up Audiences,ao3
(Found) Family Dining,2021-03-16,General Audiences,ao3
Witness,2021-03-15,Teen And Up Audiences,ao3
Our Girlfriends Are Magical Girls (Puella magi madoka magica fanfic),2021-03-15,Explicit,ao3
Marked,2021-03-13,Teen And Up Audiences,ao3
I Will Never Forgive You,2021-03-13,Teen And Up Audiences,ao3
Puella Magi Winchester Magica: American Magical Girls,2021-03-12,Mature,ao3
of queens and pawns,2021-03-11,Teen And Up Audiences,ao3
Mea Maxima Culpa,2021-03-07,General Audiences,ao3
Final Goodbye,2021-03-07,General Audiences,ao3
Living A Good Life,2021-03-06,Explicit,ao3
Sayaka's Plan,2021-03-06,Teen And Up Audiences,ao3
You were our very worst Jedi,2021-03-05,General Audiences,ao3
Madoka- Rumored Princess,2021-03-05,General Audiences,ao3
Inside the mirror do you see? (someone else in that body),2021-03-05,General Audiences,ao3
[Podfic] The Promise of Tomorrow,2021-03-04,Teen And Up Audiences,ao3
Late Night Conversation,2021-03-02,Teen And Up Audiences,ao3
A First for Everything,2021-03-01,Explicit,ao3
Bridge Between Souls,2021-02-28,Explicit,ao3
The Tale of Cinderui,2021-02-28,General Audiences,ao3
tea and sympathy,2021-02-28,Teen And Up Audiences,ao3
"you were beautiful when i loved you, you were beautiful when i lost you.",2021-02-28,General Audiences,ao3
Kyoko and Homura eat pocky together,2021-02-27,General Audiences,ao3
The Girl with the Flaxen Hair,2021-02-26,Teen And Up Audiences,ao3
Familiar fight Rihn,2021-02-26,Not Rated,ao3
Witch battle Aquarius,2021-02-26,Not Rated,ao3
Witch  battle Magdalene,2021-02-25,Not Rated,ao3
Violin Smash!,2021-02-25,Teen And Up Audiences,ao3
Other Voices,2021-02-25,Teen And Up Audiences,ao3
Puella Magi 🐞 Miracle Magica,2021-02-25,Teen And Up Audiences,ao3
witch battle Hag,2021-02-25,Not Rated,ao3
A cold memorial for two,2021-02-25,Not Rated,ao3
A party with a twist,2021-02-25,Not Rated,ao3
Team meeting: Updates and roses,2021-02-25,Not Rated,ao3
Familiar fight mice,2021-02-25,Not Rated,ao3
I write a Piss Story in 30 Minutes about Touka and Iroha,2021-02-24,General Audiences,ao3
I Don't Give a Damn If You Live or Die. I Don't Care.,2021-02-22,Teen And Up Audiences,ao3
"Away down South, in the Land of Traitors, Rattlesnakes and Alligators",2021-02-22,Teen And Up Audiences,ao3
The Long Goodbye,2021-02-21,General Audiences,ao3
Friendly Competition,2021-02-20,Explicit,ao3
Luz Magica,2021-02-19,Teen And Up Audiences,ao3
An itch to scratch,2021-02-19,Explicit,ao3
true feelings,2021-02-18,General Audiences,ao3
Virtual reality,2021-02-15,General Audiences,ao3
The World Is Yet Decided for Thee,2021-02-14,Teen And Up Audiences,ao3
Night Visitation,2021-02-14,General Audiences,ao3
The Rest Is Silence,2021-02-13,Mature,ao3
lost and found,2021-02-12,Teen And Up Audiences,ao3
"Homura, the enemy of Madoka? As if!",2021-02-12,Not Rated,ao3
Tomoko Magica,2021-02-11,Mature,ao3
🅱️omura 🅱️akemi,2021-02-10,General Audiences,ao3
Getting this,2021-02-10,General Audiences,ao3
Birthday Show,2021-02-10,Explicit,ao3
The Value of Humanity,2021-02-09,General Audiences,ao3
Keep Courage,2021-02-08,General Audiences,ao3
Slices of Midnight,2021-02-08,General Audiences,ao3
Fiore Dell'inferno,2021-02-07,Mature,ao3
Queen of War,2021-02-06,Teen And Up Audiences,ao3
Tsuruno's Mighty Thighs,2021-02-06,Explicit,ao3
Tout à Moi,2021-02-06,Explicit,ao3
Exhibition,2021-02-05,General Audiences,ao3
Citrus friend,2021-02-04,General Audiences,ao3
Wishes,2021-02-04,General Audiences,ao3
Loose Threads,2021-02-01,Teen And Up Audiences,ao3
A Model's Love,2021-02-01,Explicit,ao3
Inevitabilis,2021-02-01,Teen And Up Audiences,ao3
Catgirl Invasion! - Make a Contract With Me! (Puella Magi Madoka Magica),2021-01-31,Explicit,ao3
"Of Rifles, Ribbons, And The Ratio In-Between",2021-01-31,Not Rated,ao3
"Master, you need to reevaluate your priorities!",2021-01-30,General Audiences,ao3
The Last Meeting,2021-01-30,Teen And Up Audiences,ao3
Being Alone,2021-01-29,Explicit,ao3
A Diet Too Far,2021-01-28,Teen And Up Audiences,ao3
Hope's Private Secretary,2021-01-28,Teen And Up Audiences,ao3
Frostbite,2021-01-27,Teen And Up Audiences,ao3
Crash and Burn,2021-01-26,Teen And Up Audiences,ao3
If Magia Record was written by...,2021-01-26,General Audiences,ao3
Burn Like Ruby Fire,2021-01-25,Teen And Up Audiences,ao3
"These Memories Were Theirs, But Did Not Belong to Them",2021-01-24,General Audiences,ao3
Ojoumorashi,2021-01-22,General Audiences,ao3
The Morning After Shits,2021-01-22,General Audiences,ao3
Two Agile Uncles Sleeping to the Beat,2021-01-21,General Audiences,ao3
The Disappearance of Nanaka Tokiwa,2021-01-19,Teen And Up Audiences,ao3
Entry 18/1/2020,2021-01-19,General Audiences,ao3
nouns & books & show and tell,2021-01-19,Teen And Up Audiences,ao3
Cursed Eternity,2021-01-18,Mature,ao3
Dulces sueños,2021-01-18,General Audiences,ao3
Café Gem,2021-01-18,General Audiences,ao3
Hot Messy Creampies Every Night,2021-01-17,Explicit,ao3
iCum inside Ikumin,2021-01-17,Explicit,ao3
Like Rocks Scattered by the Sea,2021-01-17,Teen And Up Audiences,ao3
"Re:menniscnes- ""I met an Angel again""",2021-01-17,General Audiences,ao3
To feel human,2021-01-17,Teen And Up Audiences,ao3
My Teeth Will Only Cut Your Lips (My Dear),2021-01-15,Teen And Up Audiences,ao3
AliKari at the Movies,2021-01-15,General Audiences,ao3
"broken, all right",2021-01-14,Teen And Up Audiences,ao3
Densetsu no Enkou: Ao-chan gets a new client in Kamihama,2021-01-14,Teen And Up Audiences,ao3
My Beautiful Iroha,2021-01-13,Explicit,ao3
Magical Gals Being Pals,2021-01-13,Teen And Up Audiences,ao3
What Idol Photobooks are actually used for,2021-01-11,Mature,ao3
Shikkin no Woto,2021-01-11,General Audiences,ao3
Effet Domino,2021-01-11,Teen And Up Audiences,ao3
your fault,2021-01-10,Mature,ao3
Zim Multiverse,2021-01-10,Mature,ao3
Four Heavenly Beings Sing To My Grave.,2021-01-10,General Audiences,ao3
Reflections,2021-01-08,Not Rated,ao3
The Wrong Day,2021-01-06,Explicit,ao3
"With You, Regrettably",2021-01-05,Teen And Up Audiences,ao3
Summer Days,2021-01-05,General Audiences,ao3
so i can crumble at your side,2021-01-04,Teen And Up Audiences,ao3
Team Tragic,2021-01-04,General Audiences,ao3
through it all,2021-01-02,General Audiences,ao3
Ungrateful,2021-01-02,Mature,ao3
You're not alone anymore,2021-01-02,General Audiences,ao3
An Old Hand on the Job,2021-01-01,Mature,ao3
The Afterparty,2020-12-31,Explicit,ao3
Ran the Risk,2020-12-31,General Audiences,ao3
Kako's Worst Day,2020-12-31,General Audiences,ao3
Kamiha Scatica,2020-12-31,General Audiences,ao3
Theta Sigma Synopses(Scrapped),2020-12-31,Teen And Up Audiences,ao3
MagiReco Pissember 2020,2020-12-31,Explicit,ao3
Fluffcember Ficlets - 25 Days,2020-12-29,Teen And Up Audiences,ao3
Original Sin,2020-12-28,General Audiences,ao3
Guilty Conscience,2020-12-28,General Audiences,ao3
Bandori Birthday Collection 2k20,2020-12-27,Teen And Up Audiences,ao3
"Snowing ""I love you""",2020-12-25,Mature,ao3
Scaly  Embrace,2020-12-25,Teen And Up Audiences,ao3
The Night Homura & Sayaka Saved Christmas,2020-12-24,Teen And Up Audiences,ao3
The Sapphic Quintet,2020-12-22,Teen And Up Audiences,ao3
look me in the eyes and tell me that you feel the same,2020-12-22,Explicit,ao3
Two Souls Falling Upwards,2020-12-22,General Audiences,ao3
More to the Eye,2020-12-21,General Audiences,ao3
Heartbreak Friends,2020-12-21,General Audiences,ao3
I thought I hated you,2020-12-21,General Audiences,ao3
Debts to pay,2020-12-20,Explicit,ao3
If Happy Ever After did exist,2020-12-20,Mature,ao3
Chasing the End of the Universe,2020-12-19,Explicit,ao3
My Sleeping Goddess,2020-12-19,Explicit,ao3
Echo of My Scream,2020-12-19,Explicit,ao3
I'll Never Be Sick of You,2020-12-18,Explicit,ao3
Hey Girl in the Mirror(s),2020-12-18,General Audiences,ao3
Make Love Not War (It's All Mitama's Fault),2020-12-18,Mature,ao3
Kumi obeys Your orders,2020-12-18,General Audiences,ao3
After the ZenShinSai,2020-12-18,Explicit,ao3
Twitter Multiverse,2020-12-16,Not Rated,ao3
A Deep Reflection And A Thank you,2020-12-15,Mature,ao3
Full Circle,2020-12-15,Teen And Up Audiences,ao3
How (not) to be Alone,2020-12-15,General Audiences,ao3
A Simple Misunderstanding,2020-12-14,Not Rated,ao3
Akemi Homura Dies,2020-12-14,Teen And Up Audiences,ao3
paint my face with tears that don't feel the same,2020-12-11,Teen And Up Audiences,ao3
everyone seems to leave bittersweet memories,2020-12-09,Teen And Up Audiences,ao3
i like to push my luck (so take my hand),2020-12-08,General Audiences,ao3
"Bramble House SAVE Point, Krampusnacht, 202x",2020-12-08,Not Rated,ao3
"Trapped in this Endless Maze, for You",2020-12-07,General Audiences,ao3
Akemi Homura goes to therapy,2020-12-07,General Audiences,ao3
Ashley's Blackmail,2020-12-06,General Audiences,ao3
Kako's Handshake Event,2020-12-06,General Audiences,ao3
A tale of a shy trainee and a lonely musician,2020-12-06,General Audiences,ao3
MM Shorts,2020-12-06,General Audiences,ao3
I can't think of a title so IroKa,2020-12-05,General Audiences,ao3
Dreams of the future grant cuddles,2020-12-03,General Audiences,ao3
25 Days of Fluff,2020-12-03,Teen And Up Audiences,ao3
Hand on the Hour Hand,2020-12-02,Mature,ao3
Roller Rinks and Holding Hands,2020-12-01,General Audiences,ao3
What the Heart Wants,2020-12-01,Explicit,ao3
Madoka Kaname Is Tired Of Your Shit,2020-11-30,Mature,ao3
KinkEmber in Five Hours,2020-11-30,Explicit,ao3
Guardian Angel,2020-11-30,Teen And Up Audiences,ao3
Puella Magi Marinette Magica,2020-11-29,Teen And Up Audiences,ao3
Size Comparison,2020-11-29,Explicit,ao3
Ashley's Day at the School Festival,2020-11-29,Teen And Up Audiences,ao3
A Minute can last Forever,2020-11-28,General Audiences,ao3
Shooting Star,2020-11-27,Teen And Up Audiences,ao3
Just Deserts,2020-11-27,General Audiences,ao3
Say it All,2020-11-26,General Audiences,ao3
Belt of Venus,2020-11-26,Teen And Up Audiences,ao3
tv doesn't always rot your brain,2020-11-25,Not Rated,ao3
Your eyes are beautiful,2020-11-25,General Audiences,ao3
Fetch Quest,2020-11-24,General Audiences,ao3
oh my god (they were roommates),2020-11-24,General Audiences,ao3
sunlight jump,2020-11-23,Teen And Up Audiences,ao3
Because you failed so many times,2020-11-23,Explicit,ao3
"maleficis, spe aut desperatione",2020-11-22,Mature,ao3
The Power of Hope,2020-11-22,Mature,ao3
Cupcake Catastrophe (A Mami x Fem Reader),2020-11-22,General Audiences,ao3
The Artist’s Dilemma,2020-11-20,Not Rated,ao3
Hitomi's Confession,2020-11-16,Teen And Up Audiences,ao3
Where you don't see me,2020-11-15,Teen And Up Audiences,ao3
Homura Duels Touga,2020-11-15,Teen And Up Audiences,ao3
learned to lose you (can't afford to),2020-11-15,General Audiences,ao3
Ruby's Magical (Girl) Birthday,2020-11-15,Explicit,ao3
A Story Where Love And Courage Win,2020-11-14,Teen And Up Audiences,ao3
if I could turn back time,2020-11-09,Teen And Up Audiences,ao3
Take Me Away,2020-11-08,Explicit,ao3
Mahou Shoujo Magia Record - Because Someone's Gotta Un-Cancel This Game!,2020-11-08,Teen And Up Audiences,ao3
Witch Battle Memento Mori,2020-11-08,Not Rated,ao3
Sating the Hunger,2020-11-07,Explicit,ao3
The Persistence of Memory; or a Puzzlebox in the Form of a Girl,2020-11-07,Mature,ao3
Witch Battle Helios,2020-11-06,Not Rated,ao3
Not Alone,2020-11-06,Mature,ao3
Le réveil de Kyôko,2020-11-06,Teen And Up Audiences,ao3
Private Time,2020-11-05,Explicit,ao3
The Mifuyu Special,2020-11-04,Explicit,ao3
A Deal with the Devil,2020-11-04,Explicit,ao3
Connecting Dots,2020-11-04,General Audiences,ao3
Familiar battle Bark,2020-11-03,Not Rated,ao3
Witch Battle Coils,2020-11-02,Not Rated,ao3
Familiar battle Chipp,2020-11-02,Not Rated,ao3
Witch Battle Keeper Lynn,2020-11-02,Not Rated,ao3
Bowling magic,2020-11-02,Not Rated,ao3
アシュリーの別れ,2020-10-31,Teen And Up Audiences,ao3
Ashley Quest,2020-10-31,General Audiences,ao3
A Golden Rainbow,2020-10-31,General Audiences,ao3
Ashley's Goodbye,2020-10-31,Teen And Up Audiences,ao3
Puella Magi Miraculous ☾ Magica,2020-10-31,Teen And Up Audiences,ao3
YachIroSana,2020-10-30,Teen And Up Audiences,ao3
First Strike Capabilities,2020-10-29,Teen And Up Audiences,ao3
A Dandelion with Thorns: Galar Record,2020-10-29,Mature,ao3
Homura Lays Eggs Inside Mami,2020-10-29,Explicit,ao3
Test the Seams,2020-10-28,Teen And Up Audiences,ao3
Unconventional Good End,2020-10-28,Explicit,ao3
Septette For The Daito Princess,2020-10-28,Explicit,ao3
A Red Umbrella,2020-10-28,General Audiences,ao3
A Wolf Is A Witch's Best Friend,2020-10-28,Teen And Up Audiences,ao3
Clothed in Light,2020-10-27,General Audiences,ao3
Protector,2020-10-27,Teen And Up Audiences,ao3
better run from the future,2020-10-25,Mature,ao3
Reunion,2020-10-23,General Audiences,ao3
Backyard Brawl,2020-10-22,General Audiences,ao3
A moment of weakness,2020-10-21,Mature,ao3
Brave,2020-10-19,General Audiences,ao3
My Most Treasured Customer,2020-10-19,General Audiences,ao3
Boku No Mahō Shōjo,2020-10-17,Teen And Up Audiences,ao3
sad ☆ premonition,2020-10-16,Teen And Up Audiences,ao3
Homura Humps a Doorknob,2020-10-16,Explicit,ao3
Time and Flex Tape,2020-10-14,Teen And Up Audiences,ao3
Felicia’s Valentine,2020-10-13,Teen And Up Audiences,ao3
"wearing out, asymptotically, to the absolute zero",2020-10-12,Teen And Up Audiences,ao3
"you remember, right..?",2020-10-11,Teen And Up Audiences,ao3
Make a Wish,2020-10-10,Teen And Up Audiences,ao3
Witch battle Mary Elizabeth,2020-10-10,Not Rated,ao3
Jaye's Fictober 2020,2020-10-09,General Audiences,ao3
Witch battle Songbird,2020-10-08,Not Rated,ao3
Familiar battle Stu,2020-10-08,Not Rated,ao3
Steps towards a better life,2020-10-08,Not Rated,ao3
risk for a glimpse of light,2020-10-06,General Audiences,ao3
Witch battle Patricia,2020-10-06,Not Rated,ao3
White Day Afternoon,2020-10-05,Explicit,ao3
Strawberry Magdalena,2020-10-05,Explicit,ao3
One More Final: Hai Need You,2020-10-05,Explicit,ao3
Making Love Without Love,2020-10-04,Explicit,ao3
Puella Magi Matarael Magica,2020-10-04,Mature,ao3
War council take 2,2020-10-04,Not Rated,ao3
A broken Sanctuary,2020-10-04,Not Rated,ao3
The Truth,2020-10-04,Not Rated,ao3
In which nobody studies,2020-10-04,Not Rated,ao3
Since when was February the longest month ever?,2020-10-04,Not Rated,ao3
Bother,2020-10-04,Not Rated,ao3
Questions,2020-10-04,Not Rated,ao3
We Don't Talk Anymore,2020-10-04,Not Rated,ao3
Anyways here's...,2020-10-04,Not Rated,ao3
Magic has secrets,2020-10-04,Not Rated,ao3
Battle Prep: Heal,2020-10-04,Not Rated,ao3
Atrophy,2020-10-04,Not Rated,ao3
Waking Up,2020-10-04,Not Rated,ao3
Facets,2020-10-04,Not Rated,ao3
Sink or Swim,2020-10-04,Not Rated,ao3
Lit Fair Shenanigans,2020-10-04,Not Rated,ao3
Snowcones,2020-10-04,Not Rated,ao3
Uncute,2020-10-04,Not Rated,ao3
Trix Trouble,2020-10-04,Not Rated,ao3
I wanna watch you squirm,2020-10-04,Teen And Up Audiences,ao3
Trust and Time,2020-10-04,Not Rated,ao3
Dance Dance Conversation,2020-10-04,Not Rated,ao3
"Smashing, Crashing",2020-10-04,Not Rated,ao3
Espresso Death-o,2020-10-04,Not Rated,ao3
Sleepover,2020-10-04,Not Rated,ao3
Barracuda,2020-10-04,Not Rated,ao3
A long overdue conversation,2020-10-04,Not Rated,ao3
The Talk,2020-10-04,Not Rated,ao3
Mission Greetings,2020-10-04,Not Rated,ao3
Beachside Babbles,2020-10-03,Not Rated,ao3
Feelings are Weird,2020-10-03,Not Rated,ao3
Support and Counsel,2020-10-03,Not Rated,ao3
Aftermath,2020-10-03,Mature,ao3
We murmured our 'How do you dos',2020-10-03,Not Rated,ao3
Kings and Queens,2020-10-02,Not Rated,ao3
"I've told the truth, I didn't come to fool you",2020-10-03,Not Rated,ao3
Devil's Due,2020-10-03,Not Rated,ao3
Pack Bonding,2020-10-03,Not Rated,ao3
Little Talks,2020-10-03,Not Rated,ao3
Beginnings,2020-10-03,Not Rated,ao3
Talking about Nothing and Everything,2020-10-03,Not Rated,ao3
"Hit me, won't you?",2020-10-03,Not Rated,ao3
Is this a Career?,2020-10-03,Not Rated,ao3
Getting This,2020-10-03,Not Rated,ao3
Smell the Roses,2020-10-03,General Audiences,ao3
After School Run In,2020-10-03,General Audiences,ao3
Lions Are Kittens at Heart,2020-10-02,Explicit,ao3
Solatium Sanguis,2020-10-02,Explicit,ao3
forgotten by time,2020-10-01,Teen And Up Audiences,ao3
Put My Mind to Rest,2020-09-30,General Audiences,ao3
Insecure,2020-09-30,General Audiences,ao3
A Simulacrum Bound by Dreams,2020-09-28,Teen And Up Audiences,ao3
i'm choking on your grave dirt,2020-09-28,Teen And Up Audiences,ao3
"some call it reckless, some call it breathing",2020-09-25,Teen And Up Audiences,ao3
La Danse Macabre,2020-09-25,Explicit,ao3
A Dream Come True,2020-09-24,Not Rated,ao3
Maybe This Was A Mistake,2020-09-23,General Audiences,ao3
Magical Rumble,2020-09-23,Teen And Up Audiences,ao3
Message Unread,2020-09-23,Teen And Up Audiences,ao3
Of trust and hope,2020-09-22,General Audiences,ao3
Strega,2020-09-22,Teen And Up Audiences,ao3
calendula,2020-09-22,Teen And Up Audiences,ao3
Karin's Interrogation,2020-09-21,Explicit,ao3
some story that's inside my head,2020-09-19,Not Rated,ao3
paradero de memoria,2020-09-19,General Audiences,ao3
The Picnic on the Hill (Madoka x Homura),2020-09-17,Not Rated,ao3
Scenery,2020-09-16,General Audiences,ao3
Strega,2020-09-16,Mature,ao3
San Valentino,2020-09-16,General Audiences,ao3
And Til Death Do Us Part,2020-09-13,Teen And Up Audiences,ao3
Uncertainty,2020-09-11,Teen And Up Audiences,ao3
Ephemeral | prologue,2020-09-10,General Audiences,ao3
The Pied Piper's on Call,2020-09-10,General Audiences,ao3
Madoka Meme-ica,2020-09-10,Mature,ao3
OwAUri-magica: The fallen sister,2020-09-09,Not Rated,ao3
Dragon King: Revamp,2020-09-09,General Audiences,ao3
Blue tears and video games,2020-09-09,Not Rated,ao3
In the name of Love and Justice~,2020-09-08,Teen And Up Audiences,ao3
Night Life of a Certain Deserted Island,2020-09-07,Explicit,ao3
Paradiso Sognato,2020-09-06,Teen And Up Audiences,ao3
"Safe, Sorry, and Everything in Between",2020-09-06,Explicit,ao3
Akemi Homura is an Awful Girl,2020-09-06,Explicit,ao3
Chara's big break,2020-09-06,Not Rated,ao3
Owari things,2020-09-06,Not Rated,ao3
Video games and bubble lights,2020-09-06,Not Rated,ao3
just say you'll always be there,2020-09-04,General Audiences,ao3
"A World Where Hope, Wishes, Love, and Despair are Ours",2020-09-03,General Audiences,ao3
Easy to Find - C1 - Commit Yourself Completely,2020-09-03,Mature,ao3
Multifandom Oneshot Collection,2020-09-03,Teen And Up Audiences,ao3
E finalmente vendetta fu!,2020-09-02,General Audiences,ao3
Witch battle Texas,2020-09-02,Not Rated,ao3
Plans in action,2020-09-02,Not Rated,ao3
Witch Battle Thyaella,2020-09-02,Not Rated,ao3
