,names,dates,ratings,languages
1124,Abandoned love,2015-10-01,K+,English
1125,Kyoko & Mami,2015-09-28,T,English
1126,Zenith,2015-09-27,K+,English
1127,Mahou Shoujo Madoka Magica - Rebuild,2015-09-27,T,English
1128,Stuck with double Homura,2014-01-28,K+,English
1129,Perfection Trial,2015-05-15,T,English
1130,Puella Magi Madoka Magica ( I N T E R A C T I V E ),2015-09-24,K+,English
1131,Stain,2015-09-23,T,English
1132,Magica Love,2015-09-22,T,English
1133,Shanghai 1937,2015-09-14,T,English
1134,Triggers,2015-09-21,T,English
1135,Ataraxia,2015-07-29,T,English
1136,The Grief Thief,2015-09-20,T,English
1137,Entropic System,2015-09-19,T,English
1138,Once Upon a Time in Madoka,2014-10-04,K+,English
1139,Cibus Esculentus Madoka Magica,2015-08-18,T,English
1140,Sir Sayaka and the Saga of the Sayastache,2015-09-16,T,English
1141,The Bodyguard and the Client,2013-07-16,T,English
1142,Regret,2015-09-13,M,English
1143,Gems and Meteors,2015-09-08,K+,English
1144,Incubation,2015-09-08,T,English
1145,Silent Melody,2014-01-11,T,English
1146,Times Like These,2015-09-04,T,English
1147,The Maiden Heart Is Complicated!,2015-09-04,T,English
1148,Mahou Shoujo Drabbles,2015-08-27,K+,English
1149,Over Kills,2015-09-04,T,English
1150,PMMM Shattered Destiny,2015-08-19,T,English
1151,Puella Magi Fuhai Magica,2014-05-31,T,English
1152,New Stars,2015-08-28,T,English
1153,The Once and Future Witch,2015-08-27,K+,English
1154,Demon Soul,2015-07-19,T,English
1155,Washed Away,2015-08-23,T,English
1156,psychosaga,2013-07-14,T,English
1157,MagiHelp,2015-08-24,T,English
1158,Nerves were Puppet Strings,2015-08-23,T,English
1159,"Science, Chemicals and the Body",2015-08-23,T,English
1160,Soul Mates or Not?,2015-08-23,T,English
1161,Too Close or Too Far,2015-08-23,T,English
1162,Akuma H,2015-08-23,T,English
1163,A Weapon Not Called Time,2015-08-23,T,English
1164,Leaving the Candle of Friendship Unlit,2015-08-23,T,English
1165,Third Shadow,2015-08-23,M,English
1166,Prolonging the Foregone Conclusion,2015-08-23,T,English
1167,Warped Friendship,2015-08-23,T,English
1168,Glowing with Ignorance,2015-08-23,T,English
1169,A Game of Cat and Mouse,2015-08-23,T,English
1170,A Spiral,2015-08-23,T,English
1171,Interested in Madoka,2015-08-23,T,English
1172,Re-encountering Thoughts,2015-08-23,T,English
1173,Changes,2015-08-23,T,English
1174,Melting Like Wax,2015-08-21,T,English
1175,Captive by Love,2015-08-20,M,English
1176,Incubating Love,2014-07-06,T,English
1177,The Worst Mistake,2015-08-17,T,English
1178,Held,2015-08-18,K+,English
1179,Take-Out,2015-08-18,K+,English
1180,grandiose,2015-03-03,T,English
1181,Pocky Game!,2015-08-17,T,English
1182,For Want of a Name,2015-08-16,K+,English
1183,"You Are My Sunshine, My Only Sunshine",2015-08-13,K+,English
1184,A Cycles Story,2015-07-11,M,English
1185,Puella Magi Jackie Magica,2015-08-13,T,English
1186,Madokami is bored,2015-08-09,K,English
1187,Just Tired,2015-08-07,K,English
1188,The Birthday Cake Incident,2015-08-05,K+,English
1189,OTP Challenge 01 - Naked Cuddles,2015-08-02,K+,English
1190,Weasel,2015-08-02,K+,English
1191,Population Dynamics,2015-03-30,T,English
1192,A Lovely Heartbreaking Song,2015-07-30,K+,English
1193,Madoka's Birthday Party,2015-03-03,K+,English
1194,Origins,2015-02-17,T,English
1195,Fray,2015-07-29,T,English
1196,Magical Endings,2015-07-29,T,English
1197,Never Alone,2015-07-02,T,English
1198,Rainbow,2015-07-20,T,English
1199,Kind to a Fault,2015-07-22,T,English
1200,A Pair Through Restarted Time,2015-07-22,T,English
1201,Always by Your Side,2015-07-22,T,English
1202,Cada parte de tu piel grita: Deseo,2015-07-22,K,Spanish
1203,Sleepover,2015-07-10,T,English
1204,City of Ghosts,2015-07-16,T,English
1205,Unconventional Lessons,2015-07-16,M,English
1206,Battlefield,2015-07-15,T,English
1207,Puella Magi Madoka Magica Redux: The Abridged Series,2014-03-04,T,English
1208,Inkstains,2015-07-13,T,English
1209,Puella Magi Ace Magica!,2015-04-24,K+,English
1210,Angel of Darkness,2015-07-09,K,French
1211,Puella Magi Piano Quintet,2015-07-04,T,English
1212,Mother's Intuition,2015-06-28,K,English
1213,Te Amo Sayaka,2015-06-28,T,Spanish
1214,Blue and Red,2015-01-11,T,English
1215,Insanity Unleashed,2012-09-05,M,English
1216,Decretum,2015-06-26,T,English
1217,Remorse,2015-06-23,T,English
1218,Madoka's Big Heart,2015-06-22,T,English
1219,Caelicolae Liberi: Assimilation,2014-01-04,T,English
1220,SayaHomu,2015-06-22,M,English
1221,The Goddess and Me,2014-11-26,K+,English
1222,Puella Magi Kaori Magica: The Infernal Desires,2015-06-20,T,English
1223,Bubbles and Texts,2015-06-20,T,English
1224,The Clara Dolls Adventures,2015-06-13,K,English
1225,"First Kiss, Last Kiss",2015-06-16,K+,English
1226,Magi of a Crystal Saohire,2015-06-15,T,English
1227,Spiral,2015-06-15,T,English
1228,Matchmaker?,2015-03-06,K,English
1229,Magical Girl Saruya's adventures!,2015-04-30,K+,English
1230,Perfection,2015-06-13,T,English
1231,Colourful,2015-06-12,T,English
1232,Connectコネクト,2015-06-12,T,English
1233,Heat Haze Dazeかげろうの幻惑,2015-06-11,T,English
1234,Fairytale,2015-06-08,T,English
1235,cerulean sky,2015-06-05,T,English
1236,Cowboy Bebop Homage,2015-06-01,T,English
1237,The Knight and The Princess,2015-06-04,K+,English
1238,Impossibility,2015-06-03,K+,English
1239,The Doctrine Without A Text,2015-06-03,K+,English
1240,"Hope, Magic, And Despair",2015-05-01,T,English
1241,The Devil and the Angel,2015-05-26,T,English
1242,A Quintessential Resolution,2015-05-31,T,English
1243,Siblings Across Time and Space,2015-05-31,K,English
1244,Disconnection,2015-02-05,T,English
1245,I'm a Puella Magi,2015-05-29,K+,English
1246,Valley Of The Damned,2015-05-28,T,English
1247,Phantasm,2015-05-28,K+,English
1248,The Pocket Homu Conspiracy,2015-05-27,T,English
1249,Desconexão,2014-11-28,T,Portuguese
1250,December Blues,2015-04-01,T,English
1251,The Consequences of Failure,2014-08-31,T,English
1252,Would you like to sit down- and enter?,2015-05-24,T,English
1253,Raked over Crimson Waves,2015-05-24,K,English
1254,They Will Suffer,2015-05-24,K+,English
1255,Fem Reader X Tomoe Mami (PMMM),2015-05-23,T,English
1256,As Long as it Takes,2015-05-23,K+,English
1257,Tales of Puella Magi,2012-03-26,T,English
1258,Fury,2015-05-22,M,English
1259,Homura's Punishment,2015-05-20,K+,English
1260,Attempt,2015-05-20,K+,English
1261,The Hammer Has Fallen,2015-05-19,T,English
1262,Upon Reflection,2015-05-18,K,English
1263,rotten love (my voice is mildew),2015-05-17,T,English
1264,Children of the False City,2015-05-15,T,English
1265,Decretum,2013-05-04,T,English
1266,where Darkness dwells,2015-01-26,M,English
1267,The Witch's Tears,2015-05-13,K+,English
1268,Endless,2015-05-13,K+,English
1269,Flicker,2014-10-31,T,English
1270,The Interviews,2015-01-15,T,English
1271,i can't get the words out (i wanna be with you everywhere),2015-05-10,K+,English
1272,Sayaka's Song,2015-05-08,T,English
1273,A little more,2015-05-07,K+,English
1274,Super Emergency One on One Tutoring!,2015-05-07,K+,English
1275,Her Very Best Friend,2015-05-06,M,English
1276,Victory,2015-05-06,K+,English
1277,The Road towards Salvation,2015-05-04,T,English
1278,Lunch with the Devil,2015-05-03,T,Indonesian
1279,Fallen From Grace,2015-05-03,M,English
1280,Madoka Magica - Ein Engel mit weißen Flügeln und schwarzen Federn,2015-05-03,K+,German
1281,Nameless Immortal,2015-05-02,K,English
1282,If,2015-05-02,T,English
1283,Sweet Tarts,2015-05-02,K+,English
1284,Paint It Black,2015-04-30,T,English
1285,When The Day Comes,2014-11-03,K+,English
1286,FOR THE POUTINE!,2015-04-30,K,English
1287,Regret,2015-04-29,T,English
1288,Arisu,2015-04-29,T,English
1289,Peripheral,2015-04-26,K+,English
1290,The Price Of A Mile,2015-04-24,T,English
1291,again,2015-04-22,K+,English
1292,The Devil's Finest Trick,2015-03-25,M,English
1293,Something Different,2015-03-18,T,English
1294,"Goodbye, Homura-chan",2015-04-12,T,English
1295,Pictures,2015-04-20,K+,English
1296,Complex,2015-04-18,T,English
1297,Heartache,2015-01-16,T,English
1298,Struck,2014-05-19,T,English
1299,Magic Isn't All Fun and Games,2014-06-30,T,English
1300,The Other End of the Hourglass,2015-04-16,T,English
1301,Kyoko Sakura: Reaper of Souls,2015-04-15,K+,English
1302,Anything for Justice!,2015-04-15,M,English
1303,Given A Heartbeat,2015-03-31,T,English
1304,Grief and Valor,2014-12-12,K+,English
1305,No Strings Attached,2015-04-11,K+,English
1306,The End of the Innocence,2015-04-11,T,English
1307,The Funeral of Akemi Homura,2015-04-11,T,English
1308,KyoSaya Oneshots,2015-04-10,K+,English
1309,Homura Reacts!,2015-03-10,T,English
1310,Regina Della Magia Incoronata,2015-03-30,T,English
1311,A Sickening Dream,2015-04-09,T,English
1312,Last Time 'Round,2015-03-20,T,English
1313,Emails,2015-04-06,K+,English
1314,My Kind of Life,2015-04-06,K+,English
1315,Madoka and Sayaka Get Pokémon,2015-04-05,T,English
1316,Taenia Memoriae,2015-04-05,K+,French
1317,The Paradoxical Bootstrap of Homura Akemi,2015-04-02,T,English
1318,Recursion,2015-04-05,K+,English
1319,Colorful,2015-04-04,K+,English
1320,Why Me?,2015-04-03,T,English
1321,Of Heroes and Blood in the Sunlight,2015-04-03,T,English
1322,Clear Droplets,2015-04-02,M,English
1323,A Different Kind of Spark,2015-03-24,T,English
1324,Stars,2015-03-31,K+,English
1325,puella magi cassandra serena magica,2014-03-25,T,English
1326,Wish,2015-03-29,K,English
1327,The Cattle to Save the Universe,2015-03-28,K+,English
1328,Wings,2015-03-28,K,English
1329,sleep party,2015-03-25,M,English
1330,Finding the Unforgiven (Sayaka and Homura in the Demon Homura World),2015-03-24,T,English
1331,Homura Gives Up,2015-03-24,M,English
1332,Fruit Loop Homura,2015-03-12,M,English
1333,Puella Magi Divina Commedia,2015-03-23,M,English
1334,You're My Angel,2015-03-22,M,English
1335,I Had a Dream,2015-02-26,M,English
1336,Gunners High,2013-02-06,M,English
1337,Liking,2015-03-21,K+,English
1338,Sea Legs,2015-03-21,K+,English
1339,Puella Magi Kokoro Magica,2015-02-26,T,English
1340,I'm right here!,2015-03-20,K,English
1341,heart beat,2014-02-14,T,English
1342,Sheen of Gold,2015-03-14,K+,English
1343,A Beautiful Day,2015-03-13,K,English
1344,Scar Tissue,2014-06-09,T,English
1345,Numb,2015-03-11,T,English
1346,Five Lives Six Stories,2014-01-10,T,English
1347,The Fall,2015-03-08,T,English
1348,Beholder,2015-03-08,K+,English
1349,Solus,2015-03-07,K+,English
1350,Invocation Of Apocalyptic Evil,2015-03-05,T,English
1351,Romance For Dummies,2014-03-25,K+,English
1352,Même maintenant,2015-03-05,T,French
1353,Aquamarine,2015-03-02,K+,English
1354,The Angel in Black,2015-03-01,K,English
1355,This Light,2015-03-01,M,English
1356,Inevitabilis,2015-03-01,T,French
1357,Precious Gem,2015-03-01,K,English
1358,Kiss or Chocolate?,2015-03-01,K+,English
1359,Beauties and Beasts,2015-02-28,T,English
1360,Human Nature,2015-02-27,T,English
1361,Staggering,2015-02-26,T,English
1362,Prisonnières,2015-02-23,T,French
1363,I love you for your body,2015-02-23,T,English
1364,Never Together,2015-02-21,K+,English
1365,Reminiscence,2014-11-07,T,English
1366,Petrichor,2015-02-19,K,English
1367,presence,2015-02-17,K,English
1368,Doomed Fate,2015-02-17,T,English
1369,A New Kind of Relationship,2015-02-17,M,English
1370,Popcorn Brigade,2014-12-30,T,English
1371,No Regrets for Insane Love,2015-02-14,K+,Spanish
1372,Heart by Heart,2015-02-14,K,English
1373,Like Diamonds in the Sky,2015-02-14,K+,English
1374,Irregularities,2015-02-13,T,English
1375,The Last Act,2015-02-11,T,English
1376,A Galaxy Away,2015-02-12,K+,English
1377,Lingering Ghosts,2015-02-11,K+,English
1378,A wish for Madness,2014-08-11,T,English
1379,Mahou Shoujo: Rebirth,2015-02-08,K+,English
1380,for a thousand more,2015-02-08,K,Portuguese
1381,Bueno Valentino to the Puella Magi!,2014-02-07,K+,English
1382,"Tão perto, tão quase",2015-02-07,K,Portuguese
1383,The cycle of symbolic suffering,2015-02-07,T,English
1384,The Last Cycle,2015-02-06,T,English
1385,魔法アイドルローゼル腐女子 - Puella Idol Roselle Fujoshi,2014-12-01,T,English
1386,Light the Way Home,2015-02-03,T,English
1387,Flesh of the Earth,2015-02-03,K+,English
1388,Eventful,2015-02-03,M,English
1389,Mea culpa,2015-02-02,T,English
1390,Bite The Hand That Drew You,2015-02-01,T,English
1391,Kissu,2015-02-01,T,English
1392,Sayaka's Prince,2015-01-30,T,English
1393,Can I sleep with you tonight?,2015-01-30,T,English
1394,Momoe Nagisa: My regret,2015-01-30,K,English
1395,External Resources,2015-01-29,K+,English
1396,"Tardiness, Toothbrushes, and Tiny Tornadoes",2015-01-29,T,English
1397,Love is a slut,2015-01-28,M,English
1398,Magicis Tragoedia,2014-12-13,T,English
1399,What Goes Around,2015-01-25,K,English
1400,Glass Hearts,2015-01-25,K,English
1401,Mitakihara High School of the Dead,2014-02-08,T,English
1402,Peace and Tea,2015-01-24,K,English
1403,Puella Magi Takara Magica,2015-01-12,T,English
1404,Lunchtime,2015-01-24,K+,English
1405,Rotten Wreath,2015-01-24,T,English
1406,The storm's eye,2015-01-24,K,English
1407,I Was a Fool,2015-01-22,T,English
1408,Strawberry Shortcake,2015-01-21,K,English
1409,Tea Party,2015-01-19,M,English
1410,Damaged,2014-05-25,M,English
1411,Only One,2015-01-17,K+,English
1412,Notch the Arrow,2015-01-15,K+,English
1413,All but Forgotten,2014-09-09,T,English
1414,No More Misery,2015-01-12,T,English
1415,to eternity,2014-03-15,T,English
1416,Mama's Advice,2015-01-09,K,English
1417,Clara Dolls Theater,2014-04-02,T,English
1418,Writing In The Sand,2015-01-05,M,English
1419,Homo Homo School,2015-01-04,T,English
1420,Puella Magi Madoka Magica: A Whole New Region!,2014-12-31,T,English
1421,『Me quedaré contigo』,2015-01-03,T,Spanish
1422,Kyousaya And!:,2015-01-03,M,English
1423,A day in His life,2015-01-02,T,English
1424,Kyousaya-Waves,2015-01-01,T,English
1425,The Keeper of Witch Paradise,2014-12-24,T,English
1426,Diamond Arrow,2014-12-23,T,English
1427,This is not a Fairytale,2014-12-30,K+,English
1428,Writer's block,2014-12-29,T,English
1429,"I am the Hero, I am the Villain",2014-12-29,K+,English
1430,Matters,2014-12-28,T,English
1431,Love Unspoken,2014-11-11,M,English
1432,Christmas,2014-12-26,T,English
1433,and our dreams will break the boundaries of our fear,2014-12-26,T,English
1434,Better than Dreams,2014-12-26,M,English
1435,A KyoHomu Christmas,2014-12-26,T,English
1436,Ghosts of Chrismas Past,2014-12-26,T,English
1437,A Very Puella Magi Christmas,2014-11-29,T,English
1438,Echoes,2014-12-23,K+,English
1439,Blind,2014-12-23,T,English
1440,SteinsGate Magica,2014-12-19,T,English
1441,Aunque el mundo se derrumbe,2014-04-02,T,Spanish
1442,Heartbeat,2014-03-12,T,English
1443,Scarlet Wind,2014-06-26,T,English
1444,A Tale of Twins,2014-09-16,K+,English
1445,Magnolia,2014-12-17,K+,English
1446,mamis day off,2014-12-16,M,English
1447,Ghost,2014-12-09,K,English
1448,Bittersweet Beginnings & Ends,2014-03-26,T,English
1449,Siren,2014-12-14,M,English
1450,the first meating,2014-12-13,M,English
1451,The Last Time,2014-12-11,K,English
1452,Can't you imagine?,2014-12-09,T,English
1453,7:49,2014-12-09,T,English
1454,A Knight's Oath,2014-12-08,T,English
1455,A Day in Homuverse,2014-12-06,T,English
1456,Redemption,2012-07-24,T,English
1457,MadoHomu Collection,2014-10-28,K+,English
1458,A Nutcracker's Padded Cell,2014-08-11,M,English
1459,Eternal Darkness and Desolation,2014-11-22,M,English
1460,Ciężar,2014-11-28,K,Polish
1461,Cutting Her Losses,2014-11-25,T,English
1462,Cheesecake,2014-01-19,T,English
1463,The paradoxically grief seed,2014-11-24,M,English
1464,Walpurgisnacht,2014-03-17,T,English
1465,A Epilogue Of Sorts,2014-11-01,T,English
1466,The Butterfly Effect,2014-11-19,T,English
1467,T Minus 10,2012-04-12,T,English
1468,Repetition 77,2014-11-18,T,English
1469,Halloween,2014-11-17,K+,Polish
1470,"Please, say yes",2014-11-16,K+,English
1471,Przełamując lody,2014-11-16,T,Polish
1472,Puella Magi Tori Magica: The Ring Of Five spirits,2014-07-08,T,English
1473,Smashing the Locks,2014-11-15,T,English
1474,Puella Magi Mel Magica,2012-06-28,T,English
1475,Playing Hooky,2014-11-14,K+,English
1476,The Color of Lilacs,2012-05-12,T,English
1477,Things that remain the same,2014-11-09,T,English
1478,SCP-2043: The Magical World,2014-11-09,T,English
1479,¿Qué es el amor?,2014-11-09,M,Spanish
1480,Puella Magi Mary Sue Magica,2014-09-08,T,English
1481,Worth More Than Five Dollars,2014-07-14,T,English
1482,Window,2014-11-05,T,English
1483,Puella Magi Madoka Magica: The Not End,2014-11-05,K,English
1484,Melody Pianissima,2014-11-03,T,English
1485,Fading Fast,2013-01-02,T,English
1486,The Worth of Her Sacrifice,2014-11-01,M,English
1487,All Witches Eve,2014-11-01,T,English
1488,Another side of Kyubey,2014-10-31,T,English
1489,breathe,2014-10-31,T,English
1490,Afterimages,2014-08-19,T,English
1491,Rebellion,2014-10-31,T,English
1492,Madokaween,2014-10-31,K+,English
1493,Dear Kyubey,2014-10-30,T,English
1494,Puella Magi Kenko Magica,2014-10-29,T,English
1495,A Story of Love and Courage,2014-08-03,T,English
1496,Directionless,2014-10-27,T,English
1497,Parvae Circumitus,2014-08-07,T,English
1498,The Return of Mami Tomoe (AKA: Chilled Served Vengeance),2014-10-25,T,English
1499,Flashes of Light,2014-10-23,T,English
1500,Sharing Cheese is a Kind Gesture,2014-10-21,K,English
1501,A Witch's Tale,2014-10-21,T,English
1502,Lotus Abattoir,2014-10-20,T,English
1503,An Exception,2014-10-19,T,English
1504,Do you want to be a Magical Bitch?,2014-10-12,M,English
1505,Trust Shall Mend a Broken Heart,2014-04-08,T,English
1506,edges of Eternity,2014-10-13,M,English
1507,Parody Magi Madoka Magica,2014-08-04,K+,English
1508,A Promise Written in the Sky,2014-10-12,T,English
1509,Hallowed Be Thy Name,2014-10-11,T,English
1510,Burnt Love,2014-10-11,K+,English
1511,"Grains of Sand, and the Feathers of a Crow",2014-10-11,T,English
1512,The Emblem Chronicles,2014-08-18,T,English
1513,Sleepover,2014-10-11,K,English
1514,Shards of Glass,2014-10-10,K+,English
1515,The Witch of Masquerade,2014-10-07,K+,English
1516,Every Year,2014-10-06,K+,English
1517,Puella Musicus Madoka Magica,2013-07-26,T,English
1518,Sweet Dreams,2014-10-05,K+,English
1519,Tears,2014-10-03,T,English
1520,Happy Birthday Madoka Kaname!,2014-10-03,T,English
1521,"No Spoilers, Please!",2013-12-06,T,English
1522,to Smile,2014-10-02,K+,English
1523,Mitakihara Winter Story Arc,2014-05-06,T,English
1524,A Wish to Mend,2014-07-08,T,English
1525,Pour Some Sugar On Me,2014-09-28,M,English
1526,promises you can't keep,2014-09-28,K,English
1527,madam,2014-09-28,K,English
1528,remember,2014-09-28,K,English
1529,details,2014-09-28,K,English
1530,Colorful Worlds,2014-07-25,T,English
1531,Nighttime wonders,2014-09-27,K+,English
1532,She's My Light (MadoHomu One-shot),2014-09-26,K,English
1533,My Beloved,2014-09-26,T,English
1534,Still Hungry,2014-09-23,M,English
1535,Sister in the Sky,2014-09-22,K,English
1536,MM,2014-09-22,T,English
1537,The Lesser of Two Wrongs,2014-09-21,T,English
1538,Partners,2014-09-21,T,English
1539,Never again,2014-08-16,K+,English
1540,Diagnosis,2014-09-21,K+,English
1541,Defluxit Cicatrices,2014-09-21,T,English
1542,"We Can Be Heroes, Just For One Day",2014-09-20,T,English
1543,Monochrome,2014-09-18,T,English
1544,The Diamond and the Rough,2014-08-04,T,English
1545,A Magical Christmas Carol,2014-09-17,T,English
1546,Second Chances,2014-09-17,K+,English
1547,Salvation,2014-09-15,K+,English
1548,A little fight,2014-09-15,T,English
1549,artificial sunlight,2014-09-14,T,English
1550,Waking up,2014-09-11,T,English
1551,Anamnesis,2014-09-08,K,English
1552,For My Kreimhild,2014-09-07,K,English
1553,My Best Friend,2014-05-06,M,English
1554,Just one of them,2014-09-06,K+,English
1555,Bromance: MadoMagi Version,2014-09-04,T,English
1556,Creature of Shadow,2014-08-16,T,English
1557,Time Zero,2013-06-07,T,English
1558,Dream A Little Dream,2013-01-26,K+,English
1559,Cheese?,2014-09-02,K,English
1560,Wal-mart Night,2014-09-02,T,English
1561,Observation,2012-04-09,T,English
1562,Game Over,2014-08-31,T,English
1563,Back in Time,2014-08-30,K,German
1564,The Girl with a Shield,2014-08-30,T,English
1565,Pieces and Players,2014-08-29,K,English
1566,The new magical girl,2014-08-27,T,English
1567,The Witches of Puella Magi Madoka Magica,2013-03-05,T,English
1568,180,2014-08-28,M,English
1569,Last Dance,2014-08-27,T,English
1570,Prequel to Madokami in the multiverse,2014-08-27,K+,English
1571,Love Bites,2014-08-25,T,English
1572,For the fans,2014-07-05,M,English
1573,After life,2014-08-24,K,Spanish
1574,I want to have you back with me,2014-06-23,M,English
1575,Blackbirds,2014-08-04,T,English
1576,Oscuridad infinita,2014-08-19,T,Spanish
1577,Puella Magi Madoka Magica Rebellion: Continuation,2014-05-04,T,English
1578,Puerum Magus: Makoto Magica,2014-08-17,T,English
1579,Smiling Demon,2014-08-17,K+,English
1580,The Death of God,2014-04-15,M,English
1581,"rise, and shine",2014-08-14,T,English
1582,The Red String of Fate,2014-08-14,K+,English
1583,Vagabond,2014-06-24,T,English
1584,Puella Magi Madoka Magica: The Date Night Story,2014-08-11,T,English
1585,The New Magica Story,2014-08-10,M,English
1586,Descent,2014-05-25,T,English
1587,Brave New World,2014-08-09,T,English
1588,Un jour,2014-08-09,K+,French
1589,Sleepovers,2014-07-19,T,English
1590,A Witch's Kiss,2014-08-09,K+,English
1591,Madoka,2014-08-09,K,English
1592,Möbius Strip,2014-05-22,T,English
1593,¿Él en realidad es ella?,2012-07-20,K+,Spanish
1594,Redo,2014-08-05,M,English
1595,Puella Action Figure Magica,2014-02-15,T,English
1596,carry me home,2014-08-02,T,English
1597,Worth Fighting For,2014-07-30,M,English
1598,Approaching One Hundred,2014-07-30,K+,English
1599,In the Stars,2014-07-29,T,English
1600,Bandages,2014-07-28,K+,English
1601,Resolve,2014-07-27,T,English
1602,Lacrimosa,2014-07-26,K+,English
1603,Technology,2014-07-23,T,English
1604,Inevitabilis,2014-07-25,T,English
1605,「Purple Haze」,2014-07-21,K+,English
1606,Family Photos on a Trampoline,2014-05-11,K+,English
1607,Plea,2014-07-16,K+,English
1608,Cleaning the soul,2014-07-19,K+,English
1609,Hope and Darkness,2013-01-21,T,English
1610,Les Graines,2014-07-17,T,English
1611,Compliance,2014-03-28,T,English
1612,Perpetual,2014-07-17,K+,English
1613,Shields,2014-07-17,T,English
1614,The Future Doesn't Exist,2014-07-16,T,English
1615,And I'm Home,2014-07-14,T,English
1616,If You've Only Got a Big Rack,2014-07-16,T,English
1617,Swings and Roundabouts,2014-07-15,M,English
1618,Mitakihara Junior High,2014-07-02,M,English
1619,"click, and rewind",2014-07-13,T,English
1620,A Birthday Wish,2014-07-13,K+,English
1621,What Never Was,2014-07-13,T,English
1622,Like Fire and Ice,2014-07-08,K+,English
1623,Three lines,2014-07-10,T,English
1624,Two of a Kind,2014-07-10,T,English
1625,Forever and a Day,2013-06-21,T,English
1626,Kreimhild Gretchen's Guide To Being A Witch,2014-06-23,K+,English
1627,An Elegy for Magical Girls,2014-07-05,M,English
1628,"Five Times Homura Loved, and One Time She Didn't",2014-07-04,T,English
1629,Like Old Times,2014-07-03,T,English
1630,What's Missing?,2014-07-03,T,English
1631,Familiar,2014-07-01,T,English
1632,Solemnis,2013-11-09,T,English
1633,「King Crimson」,2014-06-29,T,English
1634,Can't Help It,2014-06-29,K,English
1635,Thanks for the Memories,2014-06-28,T,English
1636,Proximity,2014-06-28,K+,English
1637,Roses and Thorns,2014-06-23,K+,English
1638,Madoka's Saviours,2013-02-18,T,English
1639,Suspended by Strings,2014-06-25,T,English
1640,Betrayal,2014-03-17,T,English
1641,A Promise of Return: PMMM- Mami x Madoka 1,2014-06-25,T,English
1642,Midterms,2014-06-25,M,English
1643,The Snow-White Magical Girl,2014-05-23,T,English
1644,someday,2014-06-22,T,English
1645,Stronger,2014-06-22,K,English
1646,"Tea Parties, Time Loops, and Fate",2014-06-22,T,English
1647,Cinnamon and Spears,2014-03-23,T,English
1648,Rain,2014-06-21,K+,Spanish
1649,Seeds of Hope,2014-06-21,T,English
1650,Vagabond,2014-06-21,T,English
1651,Magical Girl Yoake,2014-06-06,T,English
1652,Essential,2014-06-20,T,English
1653,The Hitomi Trap,2013-11-29,M,English
1654,of mermaids and unicorns,2014-06-20,T,English
1655,Puella Magi Nozomi Magica,2014-06-19,T,Indonesian
1656,Madoka's New Protector,2013-11-24,T,English
1657,Senpai and Kouhai,2014-06-19,T,English
1658,scattered teardrops,2014-06-19,T,English
1659,It's Nothing,2014-06-19,K,English
1660,Blood And Love,2014-05-27,T,English
1661,I'm Not Supposed To Be here,2014-03-02,T,English
1662,Just My Style,2014-06-17,M,English
1663,Evil Eyes and Butterflies,2014-06-16,K+,English
1664,Time To Fall In Love,2013-03-31,T,English
1665,Esperanza de un sueño,2014-06-14,K,Spanish
1666,Learning To Feel - Mami Tomoe,2014-06-12,M,English
1667,Return of a Goddess,2014-06-09,T,English
1668,Restoration,2014-06-11,T,English
1669,And I'm Home,2014-06-10,K+,English
1670,Spend time together,2014-06-10,K+,English
1671,Satsifaction,2014-06-09,M,English
1672,"Mirror, Mirror",2014-06-09,T,English
1673,kito magic,2013-09-30,T,English
1674,The future,2014-06-03,T,English
1675,"love, is not a war of attrition",2014-06-02,T,English
1676,Church Storm,2013-06-29,T,English
1677,One Last Time,2014-06-01,T,English
1678,Cheese,2014-05-31,K,English
1679,Roommates,2014-05-30,K+,English
1680,Sweet and Bitter,2014-05-30,T,English
1681,bench,2014-05-29,K+,English
1682,Done Acting (Rebellion Story),2014-05-27,K+,English
1683,bff,2014-05-24,K+,English
1684,Drowning together,2014-05-24,T,English
1685,Rebellion Prologue,2014-05-22,T,English
1686,Aquello en lo que crei,2014-05-21,K+,Spanish
1687,sayaak and kyoku join a emo band,2014-05-20,M,English
1688,No mueras,2014-05-20,M,Spanish
1689,With You,2014-05-19,T,English
1690,Ostium Aperuit,2014-05-19,T,English
1691,The Arena,2014-05-19,T,English
1692,Almas vacias,2014-05-19,T,Spanish
1693,The Anime Adventures of a Fangirl-Volume 1,2014-04-11,K,English
1694,Just Let It Go Already,2014-05-17,M,English
1695,"Pumpkin, Raspberry",2014-05-17,T,English
1696,homora has had enough,2014-05-16,M,English
1697,Why Is She Important?,2014-05-15,K+,English
1698,Fingering the Strings of Love (Violin Boy Ruins Everything),2014-05-14,M,English
1699,Madoka Magica - I love you idiot,2014-05-13,T,English
1700,11 Miles,2014-05-12,T,English
1701,Don't Go That Way,2014-05-12,T,English
1702,Selling Your Soul For Cake,2014-05-11,K+,English
1703,「Spice Girl」,2014-05-11,T,English
1704,Left Behind,2014-05-04,T,English
1705,Last Seconds,2014-05-10,K,English
1706,Grief Seed,2014-05-10,K+,English
1707,Memorabilia,2014-05-09,K+,English
1708,My Obsession,2014-05-09,T,English
1709,Fun At The Festival,2014-05-08,K+,English
1710,Snow White,2014-04-15,K,English
1711,A Dream,2014-05-06,K,English
1712,sayaka and kioku come out of the closet,2014-05-06,T,English
